site_name_norm,imps,clicks,actions,spend,ctr,atr,cpc,cpa,vendor_impression_count,vendor_viewability_score
kenken.com,72,0,1,0.411,0.0000000000,0.0138888889,0,0.411,70,2.86
myfoxny.com,72,0,1,0.230,0.0000000000,0.0138888889,0,0.230,61,18.03
new38956.undertonebrandsafe.com,72,0,1,0.187,0.0000000000,0.0138888889,0,0.187,63,23.81
nbaliveonline.tv,72,0,1,0.182,0.0000000000,0.0138888889,0,0.182,21,47.62
ads.ihigh.com,72,0,0,0.652,0.0000000000,0.0000000000,0,0,67,16.42
timeincsite5.com,72,0,0,0.590,0.0000000000,0.0000000000,0,0,68,5.88
simulator.investopedia.com,72,0,0,0.458,0.0000000000,0.0000000000,0,0,62,9.68
137459.appnexus,72,0,0,0.369,0.0000000000,0.0000000000,0,0,90,7.78
amestrib.com,72,0,0,0.364,0.0000000000,0.0000000000,0,0,57,33.33
realitysteve.com,72,0,0,0.210,0.0000000000,0.0000000000,0,0,60,8.33
